DOY_Cont,Label,Depth,SM_%
323.19791667,SM_Depth_9,3,11.2
323.20833333,SM_Depth_1,0.05,14.1
323.20833333,SM_Depth_2,0.1,13.7
323.20833333,SM_Depth_3,0.2,11.8
323.20833333,SM_Depth_4,0.5,11.2
323.20833333,SM_Depth_5,1,9.8
323.20833333,SM_Depth_7,2.5,4.8
323.20833333,SM_Depth_6,2,7.3
323.20833333,SM_Depth_8,2.7,5.4
323.20833333,SM_Depth_9,3,11.2
323.21875,SM_Depth_1,0.05,14.1
323.21875,SM_Depth_2,0.1,13.7
323.21875,SM_Depth_3,0.2,11.8
323.21875,SM_Depth_4,0.5,11.2
323.21875,SM_Depth_5,1,9.8
323.21875,SM_Depth_7,2.5,4.8
323.21875,SM_Depth_6,2,7.3
323.21875,SM_Depth_8,2.7,5.4
323.21875,SM_Depth_9,3,11.2
323.22916667,SM_Depth_1,0.05,14.1
323.22916667,SM_Depth_2,0.1,13.7
323.22916667,SM_Depth_3,0.2,11.8
323.22916667,SM_Depth_4,0.5,11.2
323.22916667,SM_Depth_5,1,9.8
323.22916667,SM_Depth_7,2.5,4.8
323.22916667,SM_Depth_6,2,7.3
323.22916667,SM_Depth_8,2.7,5.4
323.22916667,SM_Depth_9,3,11.2
323.23958333,SM_Depth_1,0.05,14.1
323.23958333,SM_Depth_2,0.1,13.7
323.23958333,SM_Depth_3,0.2,11.8
323.23958333,SM_Depth_4,0.5,11.2
323.23958333,SM_Depth_5,1,9.8
323.23958333,SM_Depth_7,2.5,4.8
323.23958333,SM_Depth_6,2,7.3
323.23958333,SM_Depth_8,2.7,5.4
323.23958333,SM_Depth_9,3,11.2
323.25,SM_Depth_1,0.05,14.1
323.25,SM_Depth_2,0.1,13.7
323.25,SM_Depth_3,0.2,11.8
323.25,SM_Depth_4,0.5,11.2
323.25,SM_Depth_5,1,9.8
323.25,SM_Depth_7,2.5,4.8
323.25,SM_Depth_6,2,7.3
323.25,SM_Depth_8,2.7,5.4
323.25,SM_Depth_9,3,11.2
323.26041667,SM_Depth_1,0.05,14.1
323.26041667,SM_Depth_2,0.1,13.7
323.26041667,SM_Depth_3,0.2,11.8
323.26041667,SM_Depth_4,0.5,11.2
323.26041667,SM_Depth_5,1,9.8
323.26041667,SM_Depth_7,2.5,4.8
323.26041667,SM_Depth_6,2,7.3
323.26041667,SM_Depth_8,2.7,5.4
323.26041667,SM_Depth_9,3,11.2
323.27083333,SM_Depth_1,0.05,14.1
323.27083333,SM_Depth_2,0.1,13.7
323.27083333,SM_Depth_3,0.2,11.8
323.27083333,SM_Depth_4,0.5,11.2
323.27083333,SM_Depth_5,1,9.8
323.27083333,SM_Depth_7,2.5,4.8
323.27083333,SM_Depth_6,2,7.3
323.27083333,SM_Depth_8,2.7,5.4
323.27083333,SM_Depth_9,3,11.2
323.28125,SM_Depth_1,0.05,14.1
323.28125,SM_Depth_2,0.1,13.7
323.28125,SM_Depth_3,0.2,11.8
323.28125,SM_Depth_4,0.5,11.2
323.28125,SM_Depth_5,1,9.8
323.28125,SM_Depth_7,2.5,4.8
323.28125,SM_Depth_6,2,7.3
323.28125,SM_Depth_8,2.7,5.4
323.28125,SM_Depth_9,3,11.2
323.29166667,SM_Depth_1,0.05,14.1
323.29166667,SM_Depth_2,0.1,13.7
323.29166667,SM_Depth_3,0.2,11.8
323.29166667,SM_Depth_4,0.5,11.2
323.29166667,SM_Depth_5,1,9.8
323.29166667,SM_Depth_7,2.5,4.8
323.29166667,SM_Depth_6,2,7.3
323.29166667,SM_Depth_8,2.7,5.4
323.29166667,SM_Depth_9,3,11.2
323.30208333,SM_Depth_1,0.05,14.1
323.30208333,SM_Depth_2,0.1,13.7
323.30208333,SM_Depth_3,0.2,11.8
323.30208333,SM_Depth_4,0.5,11.2
323.30208333,SM_Depth_5,1,9.8
323.30208333,SM_Depth_7,2.5,4.8
323.30208333,SM_Depth_6,2,7.3
323.30208333,SM_Depth_8,2.7,5.4
323.30208333,SM_Depth_9,3,11.2
323.3125,SM_Depth_1,0.05,14.1
323.3125,SM_Depth_2,0.1,13.7
323.3125,SM_Depth_3,0.2,11.8
323.3125,SM_Depth_4,0.5,11.2
323.3125,SM_Depth_5,1,9.8
323.3125,SM_Depth_7,2.5,4.8
323.3125,SM_Depth_6,2,7.3
323.3125,SM_Depth_8,2.7,5.4
323.3125,SM_Depth_9,3,11.2
323.32291667,SM_Depth_1,0.05,14.1
323.32291667,SM_Depth_2,0.1,13.7
323.32291667,SM_Depth_3,0.2,11.8
323.32291667,SM_Depth_4,0.5,11.2
323.32291667,SM_Depth_5,1,9.8
323.32291667,SM_Depth_7,2.5,4.8
323.32291667,SM_Depth_6,2,7.3
323.32291667,SM_Depth_8,2.7,5.4
323.32291667,SM_Depth_9,3,11.2
323.33333333,SM_Depth_1,0.05,14.1
323.33333333,SM_Depth_2,0.1,13.7
323.33333333,SM_Depth_3,0.2,11.8
323.33333333,SM_Depth_4,0.5,11.2
323.33333333,SM_Depth_5,1,9.8
323.33333333,SM_Depth_7,2.5,4.8
323.33333333,SM_Depth_6,2,7.3
323.33333333,SM_Depth_8,2.7,5.4
323.33333333,SM_Depth_9,3,11.2
323.34375,SM_Depth_1,0.05,14.1
323.34375,SM_Depth_2,0.1,13.7
323.34375,SM_Depth_3,0.2,11.8
323.34375,SM_Depth_4,0.5,11.2
323.34375,SM_Depth_5,1,9.8
323.34375,SM_Depth_7,2.5,4.8
323.34375,SM_Depth_6,2,7.3
323.34375,SM_Depth_8,2.7,5.4
323.34375,SM_Depth_9,3,11.2
323.35416667,SM_Depth_1,0.05,14.1
323.35416667,SM_Depth_2,0.1,13.7
323.35416667,SM_Depth_3,0.2,11.8
323.35416667,SM_Depth_4,0.5,11.2
323.35416667,SM_Depth_5,1,9.7
323.35416667,SM_Depth_7,2.5,4.8
323.35416667,SM_Depth_6,2,7.3
323.35416667,SM_Depth_8,2.7,5.4
323.35416667,SM_Depth_9,3,11.2
323.36458333,SM_Depth_1,0.05,14.1
323.36458333,SM_Depth_2,0.1,13.7
323.36458333,SM_Depth_3,0.2,11.8
323.36458333,SM_Depth_4,0.5,11.2
323.36458333,SM_Depth_5,1,9.7
323.36458333,SM_Depth_7,2.5,4.8
323.36458333,SM_Depth_6,2,7.3
323.36458333,SM_Depth_8,2.7,5.4
323.36458333,SM_Depth_9,3,11.2
323.375,SM_Depth_1,0.05,14.1
323.375,SM_Depth_2,0.1,13.7
323.375,SM_Depth_3,0.2,11.7
323.375,SM_Depth_4,0.5,11.2
323.375,SM_Depth_5,1,9.7
323.375,SM_Depth_7,2.5,4.8
323.375,SM_Depth_6,2,7.3
323.375,SM_Depth_8,2.7,5.4
323.375,SM_Depth_9,3,11.2
323.38541667,SM_Depth_1,0.05,14.1
323.38541667,SM_Depth_2,0.1,13.7
323.38541667,SM_Depth_3,0.2,11.8
323.38541667,SM_Depth_4,0.5,11.2
323.38541667,SM_Depth_5,1,9.7
323.38541667,SM_Depth_7,2.5,4.8
323.38541667,SM_Depth_6,2,7.3
323.38541667,SM_Depth_8,2.7,5.4
323.38541667,SM_Depth_9,3,11.2
323.39583333,SM_Depth_1,0.05,14.1
323.39583333,SM_Depth_2,0.1,13.7
323.39583333,SM_Depth_3,0.2,11.8
323.39583333,SM_Depth_4,0.5,11.2
323.39583333,SM_Depth_5,1,9.7
323.39583333,SM_Depth_7,2.5,4.8
323.39583333,SM_Depth_6,2,7.3
323.39583333,SM_Depth_8,2.7,5.4
323.39583333,SM_Depth_9,3,11.2
323.40625,SM_Depth_1,0.05,14.1
323.40625,SM_Depth_2,0.1,13.7
323.40625,SM_Depth_3,0.2,11.7
323.40625,SM_Depth_4,0.5,11.2
323.40625,SM_Depth_5,1,9.7
323.40625,SM_Depth_7,2.5,4.8
323.40625,SM_Depth_6,2,7.3
323.40625,SM_Depth_8,2.7,5.4
