trel,Campaign,State,GPP13,GPP13_cumsum
6.75,drought,post-pulse,0.07422459749570084,3.5128790045975284
7,drought,post-pulse,0.04903524108424514,3.557010721573349
7.25,drought,post-pulse,0.06897872545895185,3.619091574486406
7.5,drought,post-pulse,0.03744428687038103,3.6527914326697486
7.75,drought,post-pulse,0.036251810794615716,3.685418062384903
8,drought,post-pulse,0.004555418736503697,3.6895179392477564
8.25,drought,post-pulse,0.0157691280290066,3.703710154473862
8.5,drought,post-pulse,0.004888320650393502,3.7081096430592164
8.75,drought,post-pulse,-0.004720750215694297,3.7038609678650913
9,drought,post-pulse,-0.0036153968373525474,3.700607110711474
9.25,drought,post-pulse,0.0010284352298399093,3.70153270241833
9.5,drought,post-pulse,-0.028440142473302003,3.675936574192358
9.75,drought,post-pulse,-0.00797389700497243,3.668760066887883
10,drought,post-pulse,-0.01613599087708292,3.6542376750985084
