drel,Campaign,d13C
-7.19825231481482,ambient,NA
-7.15659722222222,ambient,NA
-7.11493055555556,ambient,NA
-7.07326388888889,ambient,NA
-7.03158564814815,ambient,-9.820262456226516
-6.98990740740741,ambient,-8.065375468645438
-6.94824074074074,ambient,-7.8650497785325
-6.90658564814815,ambient,-8.176722078108396
-6.86494212962963,ambient,NA
-6.82325231481482,ambient,-8.606206772827413
-6.78157407407407,ambient,-8.84114834626873
-6.73991898148148,ambient,-9.123807907388287
-6.69825231481482,ambient,-9.538016097228075
-6.65659722222222,ambient,-9.471874078781877
-6.61491898148148,ambient,-9.84637068316833
-6.57324074074074,ambient,-10.44582710762264
-6.53158564814815,ambient,-10.808504641603726
-6.48991898148148,ambient,-10.732488718943078
-6.44824074074074,ambient,-10.473014095709955
-6.40659722222222,ambient,-10.235468560358985
-6.36489583333333,ambient,-10.216454712848268
-6.28157407407407,ambient,NA
-6.23993055555556,ambient,NA
-6.19825231481482,ambient,NA
-6.15657407407407,ambient,NA
-6.11491898148148,ambient,NA
-6.07324074074074,ambient,NA
-6.03157407407407,ambient,-8.84288808811561
-5.98991898148148,ambient,-7.804876313770583
-5.94824074074074,ambient,-7.2905227438723035
-5.90658564814815,ambient,-7.5003735640616025
-5.86491898148148,ambient,-7.8347086966865245
-5.82324074074074,ambient,-8.185308192283308
-5.78159722222222,ambient,-8.557188752811653
-5.73991898148148,ambient,-8.697341909924369
-5.69825231481482,ambient,-8.489869891766313
-5.65658564814815,ambient,-8.409658381709733
-5.61491898148148,ambient,-8.661117384692568
-5.57324074074074,ambient,-9.640357618081095
-5.53158564814815,ambient,-10.556320449887354
-5.48991898148148,ambient,-10.622022262421229
-5.44826388888889,ambient,-10.741242887008033
-5.40657407407407,ambient,-10.611299442923013
-5.36490740740741,ambient,-10.545076310505422
-5.28157407407407,ambient,NA
-5.23990740740741,ambient,NA
-5.19825231481482,ambient,NA
-5.15658564814815,ambient,NA
-5.11491898148148,ambient,NA
-5.07326388888889,ambient,NA
-5.0315625,ambient,-9.067042841616555
-4.98993055555556,ambient,-7.6756103488409115
-4.28158564814815,ambient,NA
-4.23993055555556,ambient,NA
-4.19824074074074,ambient,NA
-4.15658564814815,ambient,NA
-4.11493055555556,ambient,NA
-4.07322916666667,ambient,NA
-4.03159722222222,ambient,-9.300220696728903
-3.48991898148148,ambient,-10.236711639044486
-3.44825231481481,ambient,-11.260757731781233
-3.40657407407407,ambient,-10.65744079962589
-3.36490740740741,ambient,-10.64633642474417
-3.2815625,ambient,NA
-3.23990740740741,ambient,NA
-3.19822916666667,ambient,NA
-3.1565625,ambient,NA
-3.11489583333333,ambient,NA
-3.07325231481481,ambient,NA
-3.03157407407407,ambient,-9.540001694912661
-2.98993055555556,ambient,-7.616077659160544
-2.94824074074074,ambient,-6.206945461935042
-2.90657407407407,ambient,-5.883616125701259
-2.86489583333333,ambient,-5.13498334479169
-2.82326388888889,ambient,-5.483832113837014
-2.78159722222222,ambient,-6.436751828950628
-2.73991898148148,ambient,-7.341131019135942
-2.61490740740741,ambient,-8.991834758159312
-2.57322916666667,ambient,-11.020224154652588
-2.53158564814815,ambient,-11.918431937645197
-2.48991898148148,ambient,-12.479997435858262
-2.44825231481481,ambient,-12.058991296292387
-2.40657407407407,ambient,-11.726922214844578
-2.36491898148148,ambient,-11.630970432790882
-2.28157407407407,ambient,NA
-2.23993055555556,ambient,NA
-2.19826388888889,ambient,NA
-2.15658564814815,ambient,NA
-2.11491898148148,ambient,NA
-2.07324074074074,ambient,NA
-2.0315625,ambient,-8.115311270831736
-1.98989583333333,ambient,-6.299586500091236
-1.94824074074074,ambient,-5.097962197599198
-1.90657407407407,ambient,-4.306343567861376
-1.86491898148148,ambient,-3.264030227396514
-1.78315972222222,ambient,NA
-1.6565625,ambient,NA
-1.61491898148148,ambient,-8.298914763901339
-1.57324074074074,ambient,-9.705022708349386
-1.53158564814815,ambient,-10.446536997898278
-1.48991898148148,ambient,-10.452947289898809
-1.44824074074074,ambient,-9.935403109984176
-1.40658564814815,ambient,NA
-1.36491898148148,ambient,-9.497938901494635
-1.28158564814815,ambient,NA
-1.23990740740741,ambient,NA
-1.19826388888889,ambient,NA
-1.15658564814815,ambient,NA
-1.11491898148148,ambient,NA
-1.07325231481481,ambient,NA
-1.03158564814815,ambient,-7.6964470718668085
-0.989918981481481,ambient,-6.3105442054967344
-0.948263888888889,ambient,-5.0731703121094185
-0.906574074074074,ambient,-4.480993004605139
-0.864930555555556,ambient,-4.335468131561445
-0.823252314814815,ambient,-4.626996368375833
-0.781597222222222,ambient,-5.316590311808003
-0.739907407407407,ambient,-6.864133900536114
-0.698252314814815,ambient,-8.493607285320968
-0.656574074074074,ambient,-8.566368044624328
-0.614895833333333,ambient,-8.936927097941933
-0.573252314814815,ambient,-9.337530512574869
-0.531574074074074,ambient,-9.723621480796494
-0.489930555555556,ambient,-10.274726379433009
-0.448240740740741,ambient,-10.560411906670549
-0.406597222222222,ambient,-10.671228350141988
-0.364918981481481,ambient,-10.759690441414879
-0.281585648148148,ambient,NA
-0.239895833333333,ambient,NA
-0.198240740740741,ambient,NA
-0.156585648148148,ambient,NA
-0.114918981481481,ambient,NA
-0.0732407407407407,ambient,NA
-0.0315972222222222,ambient,-8.940838470586126
0.0101041666666667,ambient,854.8536698065046
