hrel,VOC,Campaign,Delta
-15,Monoterpene,Drought,-0.0017361471766784986
-14,Monoterpene,Drought,NA
-1,Monoterpene,Drought,6.285150747315088e-4
0,Monoterpene,Drought,0.0623034925544525
1,Monoterpene,Drought,0.07878253758117551
2,Monoterpene,Drought,0.0822764246702875
3,Monoterpene,Drought,0.08464821146499049
4,Monoterpene,Drought,0.0661181567109595
5,Monoterpene,Drought,0.04799829882339651
6,Monoterpene,Drought,0.033521178857921496
7,Monoterpene,Drought,0.023404783569972498
8,Monoterpene,Drought,NA
9,Monoterpene,Drought,NA
22,Monoterpene,Drought,0.0059341508722835085
23,Monoterpene,Drought,0.006472050934526505
24,Monoterpene,Drought,0.006916650075300498
25,Monoterpene,Drought,0.004630650108614506
26,Monoterpene,Drought,0.006900002302702504
27,Monoterpene,Drought,0.003917666360130509
28,Monoterpene,Drought,0.007268378833390501
29,Monoterpene,Drought,0.0051144190012755025
30,Monoterpene,Drought,NA
31,Monoterpene,Drought,NA
32,Monoterpene,Drought,NA
44,Monoterpene,Drought,0.006031876347296503
45,Monoterpene,Drought,0.003245299193230508
46,Monoterpene,Drought,0.0044564275485555055
47,Monoterpene,Drought,0.0049373359207965095
48,Monoterpene,Drought,0.002235426362642498
49,Monoterpene,Drought,6.120124054755094e-4
50,Monoterpene,Drought,5.020712584645065e-4
51,Monoterpene,Drought,0.004551721921875501
52,Monoterpene,Drought,NA
53,Monoterpene,Drought,NA
54,Monoterpene,Drought,NA
55,Monoterpene,Drought,NA
66,Monoterpene,Drought,0.003844248196703509
67,Monoterpene,Drought,0.003008338136864505
68,Monoterpene,Drought,0.0027627641425645028
69,Monoterpene,Drought,0.002812555310539505
70,Monoterpene,Drought,0.0046384681784625015
71,Monoterpene,Drought,0.0029006272771085057
72,Monoterpene,Drought,6.892842327435034e-4
73,Monoterpene,Drought,0.002673624547641501
74,Monoterpene,Drought,NA
75,Monoterpene,Drought,NA
76,Monoterpene,Drought,NA
77,Monoterpene,Drought,NA
78,Monoterpene,Drought,NA
87,Monoterpene,Drought,0.0020543423686174983
88,Monoterpene,Drought,-0.0023821796878744916
89,Monoterpene,Drought,0.006966542215583502
90,Monoterpene,Drought,-0.0020501019571984996
91,Monoterpene,Drought,7.052890407605039e-4
